State,Year,totalSBLoans_1mil,cpi_1990,totalSBLoans_1mil_cpiadj,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj,sb1mil_loanRatio
09,2016,2666434,183.7774361808,1450903.90605774,102198228.662291,11726447.7294022,61125535.9370046,49937.3856242427,36550656.5707966,13194538.8625767,6022364.51296237,2692095.06427921,2228920.13963315,6960.86570883756,0.109962456526078
09,2017,2561980,186.865346682,1371030.0200068,100540358.670659,11505293.04608,60892489.5103937,54778.4242953329,36515246.0683705,13429286.5712067,5625859.04949063,2513500.67082232,2174168.96167503,7505.86872702697,0.102092543243986
09,2018,2580953,192.22,1342707.83477266,98115043.2407608,11165044.1570698,60152946.61412,46076.477121925,35534712.5431829,13738548.5346259,5403187.53380908,2433021.9859681,2263718.5004441,6774.32617926476,0.097732874137946
10,2005,878228,148.2347606502,592457.52895464,212584974.248825,36876875.9318214,138386214.405673,45772.2469732241,63152006.7628646,7086872.43611432,68525481.495716,56058123.1251049,4378045.74104637,8867.43179940996,0.0835992935241092
10,2006,893432,154.4335307984,578522.031699386,222471759.103481,50724013.9350345,129241498.880883,30413.0942015681,51448878.1979408,7685101.83307165,71179940.7645275,58708085.4163055,4637569.91028392,4483.59632204058,0.0752783820260918
10,2007,857283,158.5920586446,540558.59248359,270490597.041972,53555852.935472,171121725.095136,55042.7890893293,48701247.3668851,16007898.5773443,107846769.130637,90363362.1490526,9039597.14516891,7434.69421138251,0.0337682419632914
10,2008,742771,166.4201201124,446322.836144051,263136642.523293,48863419.8125307,166940746.443961,29097.6520263999,40924457.7790423,16960333.4262639,112998482.268485,90850919.2958327,11854959.0961754,3768.06341135962,0.0263156876062884
10,2009,500832,164.3745129502,304689.572009096,261003395.686322,42290306.675946,169735652.516973,31593.7366113296,43134548.5019968,15918938.4132348,123159766.828465,103322786.084036,11948290.6579566,2475.46152632203,0.0191400685208871
10,2010,369676,166.2180911258,222404.190480214,366777193.247385,47488010.0116323,254925328.285799,58707.334557969,50025362.0770936,15259036.881532,207663575.118316,192398676.329736,9496940.0778495,8773.58246965976,0.0145752443097762
10,2011,441025,172.0395699358,256350.908203605,351855072.569433,52338040.1817814,233707244.111491,44173.2054167093,48259496.9408842,14506106.9305459,179326835.859387,165198163.98895,8157764.69848356,9381.1278110436,0.0176719301347352
10,2012,433198,174.8848853416,247704.653923546,339433509.090851,45208525.3150312,217096325.580547,67442.3521658735,41057152.2811077,15172892.4471868,164164887.898404,150479980.532803,7474251.65259176,9974.49801359955,0.0163254735236374
10,2013,536110,177.8855510292,301379.171550587,357085887.883096,49966051.3597766,229545068.170447,75096.4382268519,36767844.3872275,18570170.9698331,173084537.0634,152649670.646377,7936765.00001929,10472.3283647509,0.0162292082307789
10,2014,584133,181.548176264,321750.960004455,352951768.199279,50394640.3149972,231192479.602751,74030.7472977685,34246351.587378,19989236.2605408,173089274.992803,151819721.333926,8011838.70878615,9442.70350966324,0.0160962107711738
10,2015,700872,181.8741852284,385360.901614397,300264019.827779,43852440.898795,182339996.200389,79656.9681280865,32227816.5444917,17726906.3128302,125869423.452514,103715725.755001,4526346.92548035,9473.42862088437,0.0217387566004952
10,2016,731262,183.7774361808,397906.301881688,302628957.861492,43975171.4694007,187902905.175194,60802.6407817811,31553348.2968207,17457154.5131173,132484852.189897,107802579.312867,4692807.18703666,10309.0557011553,0.022793308129495
10,2017,708932,186.865346682,379381.20287569,300526416.064609,46708532.8023629,194399006.008968,102667.373824686,31008452.9979853,17557528.7488312,140073452.153304,112205711.593228,4639156.07493855,65855.1038838584,0.0216078930185972
10,2018,717652,192.22,373349.287274997,311892754.643583,49182250.3110273,193985272.3485,105808.04356896,26860331.9516001,18548596.5054974,142272113.805787,112256754.13531,5055309.07675497,71682.6555493696,0.0201281691131911
11,2005,559484,148.2347606502,377431.040834109,24328310.6530866,2419592.1049271,14837500.8463125,15942.1078879613,9554076.65650381,2885329.83230043,1296887.29274734,51242.838307787,488821.683580855,3626.06045641359,0.130810362340166
11,2006,661413,154.4335307984,428283.285747976,25872653.7505719,2397111.09908874,16429790.4208333,17502.1486841972,10917375.6692614,2967287.88102461,1456386.35631737,155738.727591298,405757.725323867,4272.9028011946,0.144334929039675
11,2007,672556,158.5920586446,424079.24189141,32374403.0958897,2905402.2774428,19448177.286522,19581.2651273895,11375861.1534194,4149110.93012432,2303491.48637016,445931.849544583,539874.305863499,3673.51309699275,0.102209665885868
11,2008,612684,166.4201201124,368155.004086161,29482351.2748373,2665278.29126631,17082657.3253165,17819.2678183539,9665149.20261291,3836507.6936497,2177216.57482987,504116.166805475,414959.167386559,2697.57134605348,0.0959609711445495
11,2009,401541,164.3745129502,244284.221922929,25291700.654808,2635962.63672918,14274926.8349905,15232.6001337093,8447821.21528344,3157923.19334083,1814889.21084666,509762.186159756,389070.486014478,2361.56664008534,0.0773559732035457
11,2010,370182,166.2180911258,222708.609810609,29473111.5462736,3353221.22613463,16086337.0547573,41561.4679795128,9736615.34732094,3080907.18001635,2330177.60296974,586191.223861812,478983.039353816,7527.8496977186,0.0722866989486606
11,2011,422707,172.0395699358,245703.357755278,29971004.346772,3468699.00423156,16398602.8339739,42216.3801136199,9444857.5088814,3400297.50192551,2193589.20510695,594223.594377727,467536.82412586,6252.24468470051,0.0722593707215741
11,2012,407589,174.8848853416,233061.307272989,29807908.8119296,3497994.15103675,16498693.8125773,38116.750462405,9002219.74375102,3814807.65429721,2341219.85700782,764226.708150272,463468.115620779,4865.59460770498,0.0610938554163944
11,2013,475983,177.8855510292,267578.225013828,31136172.5245709,3607455.6492221,17763490.8514899,36053.6021424141,9301784.81401367,4211535.80987,2388910.26313248,771789.563606406,475660.100685354,4682.90501966169,0.0635345957136922
11,2014,498928,181.548176264,274818.51388828,34024809.8356462,3914623.44842202,19197941.6538707,36415.6418140839,9704889.28864408,4738651.70364953,2546211.29495299,744586.415075967,492281.175688348,4694.07137725784,0.0579950861711624
