year,FIPS_state,cpi_1990,asset_cpiadj,equity_cpiadj,all_loans_cpiadj,ag_loans_cpiadj,real_estate_loans_cpiadj,ci_loans_cpiadj,consumer_loans_cpiadj,credit_card_loans_cpiadj,dollarloans_ci_LT1M_cpiadj,dollarloans_ag_bus_LT500K_cpiadj
2006,25,154.4335307984,221970779.889241,20592807.9630012,99060173.2232738,99639.0793311124,65368686.846461,14133173.9839758,9759450.87671622,802344.90240246,3498730.74222301,15920.5162823711
2006,26,154.4335307984,153893779.243821,16385441.6634022,103301297.042868,334278.774911937,71027939.499073,22112617.748453,6540586.70922964,758750.157082663,5234283.78302464,195650.55882247
2006,27,154.4335307984,88687816.29668,8364726.71244811,61987290.3232407,1991698.26784029,38757880.0310736,11763660.0096429,6003940.30688498,1072567.06840528,5151588.64569327,1537949.20022872
2006,28,154.4335307984,33326936.9990581,3130052.03072415,21425098.6111847,349953.596011089,15567142.8175318,3019078.04227036,2046360.73883921,61154.0513255557,1826357.01127616,213227.264601954
2006,29,154.4335307984,90620747.3549522,8803068.30818432,61518411.6776448,1041278.74926406,41875501.7294869,10898034.1948918,5288403.58075152,846841.901362742,3939415.28327803,850895.089179131
2006,30,154.4335307984,11861350.3891682,1149105.63193746,8282553.80334155,537908.079924644,5412738.00247148,1439229.83838398,795394.481035947,79167.0990122988,954946.812396319,428636.201011964
2006,31,154.4335307984,29534495.6655362,2945476.53398877,20527172.92627,2693273.00236852,11467490.9852518,3665320.85310009,2272824.51688745,514549.327175652,1855293.99476375,1942930.44966385
2006,32,154.4335307984,142415422.326599,16171607.4189419,99535275.5040972,148585.600588078,78998340.1698528,5495700.17465162,14016239.8334056,12012256.1518493,2567320.89987062,50233.7848624735
2006,33,154.4335307984,20269821.2000633,2406405.08187692,13093475.7855243,16128.4769323354,9218491.91940253,2118061.63539185,1419989.88772923,45646.5532695627,608060.781887247,6168.99494600919
2006,34,154.4335307984,224551577.361604,22512680.4907316,125142281.620657,110744.101403005,92929661.9655183,17729394.7709011,7309918.20294206,353360.455324908,3434198.20768123,15747.5099392829
2006,35,154.4335307984,19360126.7937875,1764491.82045553,11820713.7776371,194444.233754697,8354348.21402745,1819659.39932195,988987.392595577,86931.992676253,726468.474526571,98665.3715533988
