SBA.Physical.Declaration.Number,SBA.EIDL.Declaration.Number,FEMA.Disaster.Number,SBA.Disaster.Number,Damaged.Property.City.Name,Damaged.Property.Zip.Code,Damaged.Property.County.Parish.Name,Damaged.Property.State.Code,Total.Verified.Loss,Verified.Loss.Real.Estate,Verified.Loss.Content,Total.Approved.Loan.Amount,Approved.Amount.Real.Estate,Approved.Amount.Content,Approved.Amount.EIDL,Year
3392,9O43,1402DR,KS-L0182,KANSAS CITY,66109,WYANDOTTE,KS,1550,1550,0,800,800,0,0,2002
3392,9O43,1402DR,KS-L0182,LA CYGNE,66040,LINN,KS,12280,12280,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,LEAVENWORTH,66048,LEAVENWORTH,KS,1180,880,300,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,MERRIAM,66202,JOHNSON,KS,1500,0,1500,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,MISSION,66202,JOHNSON,KS,7026,7026,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,MORAN,66755,ALLEN,KS,500,0,500,2000,0,2000,1500,2002
3392,9O43,1402DR,KS-L0182,OLATHE,66061,JOHNSON,KS,6766,5266,1500,5000,0,5000,5000,2002
3392,9O43,1402DR,KS-L0182,OTTAWA,66067,FRANKLIN,KS,49080,42370,6710,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,OVERLAND PARK,66212,JOHNSON,KS,31444,1348,30096,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,OVERLAND PARK,66213,JOHNSON,KS,900,900,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,PAOLA,66021,MIAMI,KS,38340,38340,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,PRAIRIE VILLAGE,66208,JOHNSON,KS,10000,0,10000,14700,0,14700,6700,2002
3392,9O43,1402DR,KS-L0182,PRESCOTT,66767,LINN,KS,7825,6700,1125,10000,6700,3300,2100,2002
3392,9O43,1402DR,KS-L0182,READING,66868,LYON,KS,4250,3000,1250,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,ROCK,67131,COWLEY,KS,4800,800,4000,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,SEVERY,67137,GREENWOOD,KS,575,0,575,600,0,600,0,2002
3392,9O43,1402DR,KS-L0182,SHAWNEE,66203,JOHNSON,KS,4755,4755,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,SHAWNEE MISSION,66204,JOHNSON,KS,29113,29113,0,30000,29200,800,800,2002
3392,9O43,1402DR,KS-L0182,SHAWNEE MISSION,66205,JOHNSON,KS,26596,25496,1100,10000,10000,0,0,2002
3392,9O43,1402DR,KS-L0182,TOPEKA,66609,SHAWNEE,KS,1327,1327,0,0,0,0,0,2002
3392,9O43,1402DR,KS-L0182,TOPEKA,66619,SHAWNEE,KS,0,0,0,7200,0,7200,7200,2002
3393,9O46,1403DR,MO-L0148,BELTON,64012,CASS,MO,6750,5250,1500,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,BELTON,94012,CASS,MO,377710,0,377710,0,0,0,0,2002
3393,9O46,1403DR,MO-L0148,BLUE SPRINGS,64014,JACKSON,MO,9115,9115,0,0,0,0,0,2002
